id,timestamp,transaction_type,token,amount
1,1571967208,DEPOSIT,BTC,0.29866
2,1571967200,DEPOSIT,ETH,0.68364
3,1571967189,WITHDRAWAL,ETH,0.493839
4,1571967150,DEPOSIT,XRP,0.693272
5,1571967110,DEPOSIT,ETH,0.347595
6,1571967067,WITHDRAWAL,XRP,0.393786
7,1571966982,WITHDRAWAL,ETH,0.266166
8,1571966896,WITHDRAWAL,XRP,0.81984
9,1571966868,WITHDRAWAL,XRP,0.969999
10,1571966849,WITHDRAWAL,XRP,0.650535
11,1571966763,DEPOSIT,XRP,0.588537
12,1571966749,DEPOSIT,XRP,0.109955
13,1571966685,DEPOSIT,BTC,0.658794
14,1571966641,DEPOSIT,ETH,0.899781
15,1571966568,DEPOSIT,BTC,0.630386
16,1571966566,DEPOSIT,BTC,0.985879
17,1571966499,DEPOSIT,BTC,0.162165
18,1571966421,DEPOSIT,ETH,0.218207
19,1571966410,DEPOSIT,ETH,0.205472
20,1571966399,DEPOSIT,XRP,0.537373
21,1571966329,WITHDRAWAL,BTC,0.063663
22,1571966250,WITHDRAWAL,ETH,0.761543
23,1571966194,DEPOSIT,BTC,0.858688
24,1571966124,DEPOSIT,ETH,0.66315
25,1571966054,DEPOSIT,XRP,0.709244
26,1571966049,DEPOSIT,BTC,0.696682
27,1571966026,DEPOSIT,BTC,0.747093
28,1571965990,WITHDRAWAL,BTC,0.987358
29,1571965945,DEPOSIT,XRP,0.157443
30,1571965892,DEPOSIT,ETH,0.554933
31,1571965873,DEPOSIT,BTC,0.132038
32,1571965832,WITHDRAWAL,BTC,0.147965
33,1571965821,DEPOSIT,ETH,0.605997
34,1571965722,DEPOSIT,ETH,0.716122
35,1571965625,DEPOSIT,BTC,0.872733
36,1571965533,DEPOSIT,BTC,0.886933
37,1571965530,DEPOSIT,ETH,0.963364
38,1571965516,DEPOSIT,XRP,0.828934
39,1571965418,DEPOSIT,BTC,0.765155
40,1571965377,DEPOSIT,BTC,0.244591
41,1571965297,WITHDRAWAL,XRP,0.36783
42,1571965245,WITHDRAWAL,BTC,0.802627
43,1571965167,DEPOSIT,XRP,0.792316
44,1571965147,WITHDRAWAL,BTC,0.236674
45,1571965053,DEPOSIT,ETH,0.038583
46,1571965049,WITHDRAWAL,XRP,0.177468
47,1571964989,WITHDRAWAL,BTC,0.495282
48,1571964987,DEPOSIT,ETH,0.397724
49,1571964918,WITHDRAWAL,XRP,0.311287
50,1571964851,DEPOSIT,BTC,0.934521
51,1571964792,DEPOSIT,BTC,0.477118
52,1571964779,DEPOSIT,XRP,0.499383
53,1571964723,WITHDRAWAL,BTC,0.987034
54,1571964638,WITHDRAWAL,BTC,0.874843
55,1571964575,DEPOSIT,ETH,0.812558
56,1571964490,WITHDRAWAL,BTC,0.004961
57,1571964443,DEPOSIT,XRP,0.097368
58,1571964421,WITHDRAWAL,ETH,0.186947
59,1571964374,WITHDRAWAL,ETH,0.650059
60,1571964323,WITHDRAWAL,ETH,0.227028
61,1571964260,DEPOSIT,XRP,0.464974
62,1571964256,WITHDRAWAL,ETH,0.304374
63,1571964240,DEPOSIT,ETH,0.765674
64,1571964170,DEPOSIT,XRP,0.402188
65,1571964095,WITHDRAWAL,ETH,0.009697
66,1571964076,WITHDRAWAL,BTC,0.401726
67,1571964019,WITHDRAWAL,XRP,0.240768
68,1571963951,WITHDRAWAL,ETH,0.34225
69,1571963940,DEPOSIT,XRP,0.105994
70,1571963874,DEPOSIT,XRP,0.245242
71,1571963804,WITHDRAWAL,ETH,0.96243
72,1571963788,DEPOSIT,XRP,0.00521
73,1571963729,WITHDRAWAL,XRP,0.368835
74,1571963696,DEPOSIT,BTC,0.595896
75,1571963611,WITHDRAWAL,XRP,0.173078
76,1571963554,WITHDRAWAL,BTC,0.158923
77,1571963487,DEPOSIT,BTC,0.918003
78,1571963470,DEPOSIT,BTC,0.794169
79,1571963374,WITHDRAWAL,XRP,0.787157
80,1571963276,DEPOSIT,XRP,0.842281
81,1571963212,DEPOSIT,ETH,0.226513
82,1571963153,DEPOSIT,BTC,0.683598
83,1571963133,DEPOSIT,BTC,0.984541
84,1571963133,DEPOSIT,XRP,0.028055
85,1571963050,DEPOSIT,BTC,0.226891
86,1571962959,WITHDRAWAL,XRP,0.890174
87,1571962883,DEPOSIT,BTC,0.875022
88,1571962811,DEPOSIT,XRP,0.569361
89,1571962773,WITHDRAWAL,XRP,0.644261
90,1571962717,DEPOSIT,ETH,0.848705
91,1571962653,WITHDRAWAL,XRP,0.09163
92,1571962647,WITHDRAWAL,ETH,0.466294
93,1571962614,DEPOSIT,BTC,0.488433
94,1571962557,WITHDRAWAL,BTC,0.667648
95,1571962525,DEPOSIT,BTC,0.459287
96,1571962475,WITHDRAWAL,BTC,0.367034
97,1571962448,DEPOSIT,BTC,0.644462
98,1571962354,DEPOSIT,BTC,0.368687
99,1571962300,DEPOSIT,ETH,0.439298
100,1571962268,DEPOSIT,BTC,0.160028
101,1571962260,WITHDRAWAL,ETH,0.116838
